ticket_id,ticket_text,predicted_category,retrieved_sources,draft_response,chunks_retrieved,latency_classify_s,latency_retrieve_s,latency_generate_s,latency_total_s,cost_classify_usd,cost_generate_usd,cost_total_usd,cost_total_idr,true_sop,true_category,priority,status,correct,error
TKT-2605-0011,New phone MFA setup,mfa_reset,SOP-002 | SOP-003 | SOP-010,"Halo,

Terima kasih telah menghubungi IT Support BSI terkait pengaturan ulang MFA di perangkat baru Anda. Berikut prosedur yang kami lakukan sesuai kebijakan keamanan dan SOP yang berlaku:

1. Kami akan melakukan **verifikasi identitas** terlebih dahulu dengan salah satu metode berikut:
   - Panggilan video melalui Teams atau Zoom untuk memastikan identitas Anda dengan menunjukkan ID Card/Badge karyawan Mitsubishi.
   - Verifikasi melalui manajer Anda dengan mengonfirmasi permintaan reset MFA.
   - Verifikasi data rahasia seperti NIK, tanggal lahir, dan departemen.

2. Setelah verifikasi berhasil, kami akan melakukan **reset MFA** melalui **Entra ID Admin Center** dengan langkah berikut:
   - Login ke https://entra.microsoft.com.
   - Navigasi ke menu **Users** > **All users** dan cari akun Anda.
   - Pilih profil Anda, kemudian ke menu **Authentication methods**.
   - Klik **Require re-register multifactor authentication** dan hapus perangkat lama yang terdaftar.

3. Setelah reset selesai, Anda dapat melakukan pengaturan ulang MFA dengan membuka browser dalam mode Incognito, mengakses portal.office.com, dan login menggunakan email serta password Anda. Sistem akan meminta Anda untuk mengatur ulang Microsoft Authenticator di perangkat baru.

Jika Anda membutuhkan bantuan lebih lanjut atau mengalami kendala saat proses ini, silakan balas tiket ini.

Terima kasih atas perhatian dan kerjasamanya.

Salam,  
Tim IT Support BSI

[Sumber SOP: SOP-002, SOP-003, SOP-010]",3,0.427,0.31,4.232,4.969,4.6e-05,0.0011892,0.0012352,20.3808,SOP-002,mfa_reset,Medium,Closed,1,
TKT-2605-0012,SU53 authorization error ME21N,erp_sap,SOP-005 | SOP-004 | SOP-009,"Yth. Bapak/Ibu,

Terima kasih telah menghubungi IT Helpdesk BSI terkait kendala otorisasi pada transaksi **ME21N** di SAP dengan error SU53.

Berikut langkah yang perlu dilakukan sesuai prosedur kami:

1. Mohon untuk tidak menutup layar SAP yang menampilkan error tersebut.
2. Ketik perintah **`//SU53`** pada command field di jendela SAP yang sama, kemudian tekan Enter.
3. Ambil screenshot layar penuh dari laporan **Authorization Failure** yang muncul.
4. Lampirkan screenshot tersebut pada tiket ini sebagai dokumentasi.

Selanjutnya, kami akan memverifikasi apakah Bapak/Ibu sudah melampirkan persetujuan (approval) dari Manager dan Business Process Owner (BPO) modul terkait (misalnya BPO Supply Chain untuk transaksi ME21N). Jika persetujuan belum tersedia, kami akan meminta Bapak/Ibu untuk melengkapinya terlebih dahulu.

Setelah persetujuan lengkap, tiket akan kami teruskan ke tim **SAP_Security_Admin** untuk penambahan hak akses sesuai prosedur audit trail yang berlaku.

Mohon untuk menginformasikan apabila Bapak/Ibu membutuhkan bantuan lebih lanjut atau ada pertanyaan lain.

Salam hormat,  
Tim IT Helpdesk BSI

[Sumber SOP: SOP-005, SOP-004, SOP-009]",3,0.584,0.191,3.777,4.552,4.63e-05,0.0011292,0.0011755,19.3957,SOP-005,erp_sap,Medium,Closed,1,
TKT-2605-0013,Not receiving MFA prompt,mfa_reset,SOP-002 | SOP-003 | SOP-004,"Halo Bapak/Ibu,

Terima kasih telah menghubungi IT Helpdesk BSI. Terkait kendala Anda yang tidak menerima prompt MFA (Multi-Factor Authentication), kami akan membantu melakukan reset token MFA pada akun Anda.

Berikut langkah yang akan kami lakukan sesuai prosedur SOP-002:

1. Melakukan verifikasi identitas terlebih dahulu, yang dapat berupa salah satu metode berikut:
   - Panggilan video via Teams atau Zoom, dimana Anda diminta menyalakan kamera dan menunjukkan ID Card/Badge karyawan Mitsubishi.
   - Verifikasi melalui manajer Anda dengan menghubungi langsung atasan yang tertera di Workday/AD untuk konfirmasi permintaan reset MFA.
   - Verifikasi data rahasia seperti NIK, tanggal lahir, dan departemen.

2. Setelah verifikasi berhasil, kami akan melakukan reset MFA melalui **Entra ID Admin Center**:
   - Login ke https://entra.microsoft.com
   - Navigasi ke **Users** > **All users**, cari akun Anda.
   - Pilih profil Anda, kemudian ke menu **Authentication methods**.
   - Klik **Require re-register multifactor authentication** dan hapus perangkat lama yang terdaftar.
   
3. Kami akan menginformasikan Anda untuk membuka browser dalam mode Incognito, akses portal.office.com, login dengan email dan password, lalu melakukan pengaturan ulang Microsoft Authenticator.

Mohon siapkan aplikasi Microsoft Authenticator di smartphone baru Anda untuk proses pairing ulang melalui scan QR Code.

Jika Anda memerlukan bantuan lebih lanjut atau ada kendala setelah reset, silakan balas tiket ini.

Terima kasih atas perhatian dan kerjasamanya.

Salam,  
Tim IT Helpdesk BSI

[Sumber SOP: SOP-002, SOP-003, SOP-004]",3,0.478,0.206,4.523,5.207,4.6e-05,0.0013324,0.0013784,22.7436,SOP-002,mfa_reset,High,Resolved,1,
TKT-2605-0014,Convert to shared mailbox,email_issue,SOP-006 | SOP-012 | SOP-010,"Yth. Bapak/Ibu,

Terima kasih telah menghubungi IT Helpdesk BSI. Terkait permintaan untuk mengonversi mailbox menjadi shared mailbox, mohon maaf saat ini prosedur tersebut tidak tercantum dalam SOP yang kami miliki.

Oleh karena itu, tiket ini memerlukan penanganan lebih lanjut oleh tim IT Level 2 agar dapat dilakukan proses konversi mailbox sesuai kebijakan dan prosedur yang berlaku.

Apabila ada pertanyaan lain atau membutuhkan bantuan lebih lanjut, silakan menghubungi kami kembali.

Salam hormat,  
Tim IT Helpdesk BSI

[Sumber SOP: SOP-006, SOP-012, SOP-010]",3,0.691,0.373,1.716,2.78,4.56e-05,0.0008092,0.0008548,14.1042,SOP-011,offboarding,Medium,Resolved,0,
TKT-2605-0015,New hire onboarding setup,onboarding,SOP-010 | SOP-011 | SOP-008,"Yth. Tim HR dan Rekan Baru,

Terima kasih telah menghubungi IT Helpdesk terkait proses onboarding karyawan baru. Berikut adalah langkah-langkah yang akan kami lakukan sesuai prosedur yang berlaku:

1. **Validasi Akun dan Email:** Kami akan memeriksa di Active Directory Users and Computers (ADUC) apakah akun dengan format `Nama.Belakang` sudah terbentuk dan memastikan email `nama.belakang@mitsubishi.co.id` sudah aktif di Exchange.
2. **Assign Lisensi:** Kami akan login ke Microsoft 365 Admin Center untuk memastikan lisensi **Microsoft 365 E3** dan paket tambahan sesuai peran sudah diberikan.
3. **Penambahan ke Grup:** Pengguna akan ditambahkan ke Distribution List (DL) departemen terkait dan grup Security folder berbagi di File Server.
4. **Koordinasi Perangkat:** Kami akan mengecek tiket aset sesuai SOP-008 untuk memastikan laptop sudah siap di meja karyawan baru atau siap di-pickup pada hari onboarding bersama HR.
5. **Komunikasi Kredensial Awal:** Kami akan mencetak ""Welcome Letter"" yang berisi panduan login, password sementara, dan panduan setting MFA, lalu menyerahkannya dalam amplop bersegel kepada tim HR satu hari sebelum karyawan bergabung. Password awal tidak akan dikirimkan melalui email tanpa enkripsi demi keamanan.

Apabila ada kebutuhan perangkat tambahan atau kendala lain, silakan informasikan kepada kami agar dapat segera ditindaklanjuti.

Semoga informasi ini membantu. Jangan ragu untuk menghubungi kami kembali jika membutuhkan bantuan lebih lanjut.

Salam hormat,  
IT Helpdesk BSI

[Sumber SOP: SOP-010, SOP-011, SOP-008]",3,0.674,0.211,3.527,4.413,4.56e-05,0.0011404,0.001186,19.569,SOP-010,onboarding,Medium,Open,1,
TKT-2605-0016,Immediate offboarding request,offboarding,SOP-011 | SOP-010 | SOP-008,"Yth. Bapak/Ibu,

Terima kasih atas tiket offboarding yang telah Anda ajukan. Berikut adalah langkah-langkah yang akan kami lakukan sesuai dengan prosedur **Immediate Termination** berdasarkan SOP-011:

1. Segera melakukan **Disable Account** pada Active Directory (AD) dan **Block Sign-in** pada Microsoft 365 tanpa menunggu jam kerja.
2. Jika terdapat risiko keamanan terkait perangkat laptop yang dibawa kabur, kami akan melakukan **Remote Wipe** melalui portal Intune.
3. Menutup seluruh akses VPN dan SAP dalam waktu maksimal 15 menit sesuai SLA.
4. Memindahkan akun pengguna ke OU `Terminated Users` setelah proses disable.
5. Mengonversi mailbox email pengguna menjadi **Shared Mailbox** untuk penyimpanan data.
6. Menghapus lisensi Microsoft 365 agar dapat digunakan oleh karyawan lain.
7. Memberikan delegasi akses penuh (Full Access) ke Shared Mailbox kepada atasan/manager selama periode retensi maksimal 30 hari.

Kami akan segera menindaklanjuti permintaan ini dengan prioritas tinggi demi menjaga keamanan data perusahaan.

Apabila ada pertanyaan lebih lanjut atau kebutuhan bantuan lainnya, silakan menghubungi kami kembali.

Salam hormat,  
Tim IT Helpdesk BSI

[Sumber SOP: SOP-011, SOP-010, SOP-008]",3,0.494,0.323,3.402,4.219,4.56e-05,0.0010124,0.001058,17.457,SOP-011,offboarding,High,Open,1,
TKT-2605-0017,SAP password incorrect,password_reset,SOP-004 | SOP-003 | SOP-005,"Yth. Bapak/Ibu,

Terima kasih telah menghubungi IT Helpdesk BSI terkait masalah password SAP Anda. Berdasarkan deskripsi masalah ""SAP password incorrect"", berikut langkah-langkah yang dapat kami lakukan untuk membantu Anda:

1. Kami akan melakukan reset password SAP Anda menggunakan transaksi **SU01** di sistem Production (P01).
2. Setelah masuk ke SAP Logon, kami akan jalankan T-Code: `SU01`.
3. Masukkan SAP User ID Anda.
4. Klik ikon **Logon Data / Password** (gambar kunci).
5. Kami akan set password Anda ke password standar awal: `Init123456!`.
6. Klik **Save** untuk menyimpan perubahan.
7. Mohon dicatat, saat login berikutnya, SAP akan meminta Anda untuk mengganti password tersebut dengan password baru yang Anda pilih.
8. Pastikan Anda memasukkan nomor Client yang benar (misal: 100) saat login.

Jika masalah Anda terkait akun terkunci karena salah memasukkan password lebih dari 3 kali, kami juga dapat melakukan unlock akun dengan langkah:

1. Jalankan T-Code: `SU01`.
2. Masukkan SAP User ID Anda.
3. Klik ikon **Lock/Unlock** (gambar gembok).
4. Jika akun terkunci karena ""incorrect logons"", klik tombol **Unlock**.
5. Informasikan kepada Anda untuk mencoba login kembali dengan password lama atau password baru setelah reset.

Apabila Anda mengalami kendala lain seperti error otorisasi atau akses ke sistem Development/Quality, maka tiket ini akan kami eskalasikan ke tim SAP Basis Level 2.

Mohon informasikan jika Anda memerlukan bantuan lebih lanjut atau jika ada pesan error spesifik yang muncul saat login SAP.

Salam hormat,  
Tim IT Helpdesk BSI

[Sumber SOP: SOP-004, SOP-003, SOP-005]",3,1.871,0.203,5.004,7.078,4.55e-05,0.0013112,0.0013567,22.3855,SOP-004,erp_sap,Medium,Resolved,0,
TKT-2605-0018,Disable AD account for resigned user,offboarding,SOP-011 | SOP-010 | SOP-003,"Yth. Bapak/Ibu,

Terima kasih telah menghubungi IT Support BSI terkait permintaan penonaktifan akun Active Directory (AD) untuk pengguna yang telah mengundurkan diri. Berikut adalah langkah-langkah yang akan kami lakukan sesuai dengan prosedur offboarding standar:

1. Pada pukul 17:00 di hari kerja terakhir karyawan, kami akan membuka **Active Directory Users and Computers (ADUC)**.
2. Cari akun pengguna yang bersangkutan, kemudian klik kanan dan pilih **Disable Account**.
3. Pindahkan akun tersebut ke dalam **Organizational Unit (OU)**: `OU=Terminated Users,DC=mitsubishi,DC=local`.
4. Selanjutnya, buka portal **Microsoft 365 Admin**, cari pengguna tersebut.
5. Klik **Block Sign-in** untuk menonaktifkan akses masuk ke Microsoft 365.
6. Konversi mailbox email pengguna menjadi **Shared Mailbox** agar data tetap tersimpan tanpa biaya lisensi.
7. Hapus penugasan lisensi Microsoft 365 agar lisensi dapat digunakan oleh karyawan lain.
8. Berikan delegasi akses (Full Access) ke Shared Mailbox tersebut kepada atasan atau manager pengguna selama periode retensi maksimal 30 hari.

Kami pastikan proses ini dilakukan tepat waktu sesuai instruksi HR untuk menjaga keamanan data perusahaan.

Apabila ada kebutuhan khusus seperti terminasi segera (immediate termination) atau kasus pelanggaran, mohon informasikan agar kami dapat melakukan tindakan sesuai prosedur khusus.

Silakan hubungi kami kembali jika membutuhkan bantuan lebih lanjut.

Salam hormat,  
Tim IT Support BSI

[Sumber SOP: SOP-011, SOP-010, SOP-003]",3,0.471,0.323,3.936,4.73,4.58e-05,0.0011712,0.001217,20.0805,SOP-011,offboarding,High,Resolved,1,
TKT-2605-0019,User locked by administrator in SAP,erp_sap,SOP-004 | SOP-005 | SOP-011,"Yth. Bapak/Ibu,

Terima kasih telah menghubungi IT Helpdesk BSI terkait akun SAP yang terkunci oleh administrator.

Berdasarkan informasi yang Anda sampaikan, akun SAP Anda di-lock secara manual oleh administrator (basis/audit). Untuk kasus ini, berikut langkah yang dapat kami lakukan:

1. Kami akan membuka aplikasi **SAP Logon** dan masuk ke sistem Production (misal: P01).
2. Jalankan T-Code: **SU01**.
3. Masukkan SAP User ID Anda.
4. Klik ikon **Lock/Unlock** (gambar gembok) untuk memeriksa status akun.
5. Jika akun terkunci, kami akan melakukan **Unlock** agar Anda dapat kembali mengakses SAP.
6. Setelah akun terbuka, Anda dapat mencoba login kembali menggunakan password lama Anda.

Apabila setelah proses unlock ini Anda masih mengalami kendala, atau jika ada kebutuhan khusus terkait akses atau perubahan hak akses, mohon informasikan kembali agar kami dapat membantu lebih lanjut atau melakukan eskalasi ke tim SAP Basis Level 2.

Jika ada pertanyaan atau kendala lain, jangan ragu untuk menghubungi kami kembali.

Salam hormat,  
Tim IT Helpdesk BSI

[Sumber SOP: SOP-004, SOP-005, SOP-011]",3,0.456,0.195,2.959,3.61,4.62e-05,0.0011072,0.0011534,19.0311,SOP-004,erp_sap,Medium,Closed,1,
TKT-2605-0020,Immediate offboarding request,offboarding,SOP-011 | SOP-010 | SOP-008,"Yth. Bapak/Ibu,

Terima kasih atas pengajuan tiket offboarding dengan status **Immediate Offboarding**. Sesuai dengan prosedur pada **SOP-011: ACCOUNT TERMINATION & OFFBOARDING**, berikut langkah-langkah yang akan kami lakukan:

1. Segera melakukan **Disable Account** di Active Directory (AD) dan **Block Sign-In** di Microsoft 365 tanpa menunggu jam kerja, sesuai instruksi HR/Legal.
2. Jika terdapat risiko keamanan tinggi seperti dugaan pembawaan laptop secara tidak sah, kami akan melakukan **Remote Wipe** melalui portal Intune.
3. Menutup seluruh akses VPN dan SAP dalam waktu maksimal 15 menit sesuai SLA.

Mohon konfirmasi apabila ada perangkat yang perlu kami lakukan remote wipe atau akses khusus yang harus segera ditutup. Jika ada kebutuhan tambahan terkait pengembalian perangkat atau aset IT, kami akan koordinasikan lebih lanjut sesuai SOP terkait.

Apabila ada pertanyaan atau bantuan lebih lanjut, silakan menghubungi kami kembali.

Salam hormat,  
Tim IT Helpdesk BSI

[Sumber SOP: SOP-011, SOP-010, SOP-008]",3,0.502,0.184,2.964,3.649,4.56e-05,0.0009436,0.0009892,16.3218,SOP-011,offboarding,High,In Progress,1,
